advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_arena,advanced_attendance,advanced_attendance_per_game,season,team_abbr
27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,.549,13.7,21.6,.208,.518,11.1,78.9,.185,Vivint Smart Home Arena,"567,486","18,306",2020,UTA
26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,.534,12.7,23.9,.193,.523,12.5,80.3,.214,Wells Fargo Center,"639,491","20,629",2020,PHI
25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,.535,12.3,24.8,.183,.533,12.9,76.8,.198,Pepsi Center,"633,153","19,186",2020,DEN
25.6,45,28,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,.534,12.0,20.0,.170,.511,13.0,76.7,.192,Bankers Life Fieldhouse,"529,002","16,531",2020,IND
25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,.530,12.4,19.3,.231,.518,12.6,76.8,.173,Chesapeake Energy Arena,"600,699","18,203",2020,OKC
24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,.532,13.0,22.2,.226,.539,13.7,78.8,.221,Talking Stick Resort Arena,"550,633","15,606",2020,PHX
26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,.520,13.1,23.2,.199,.511,11.0,77.8,.187,Barclays Center,"524,907","16,403",2020,BKN
26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,.506,11.5,22.3,.198,.535,13.2,79.1,.176,Amway Center,"529,870","17,093",2020,ORL
27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,.531,11.2,20.1,.212,.542,11.7,79.2,.193,AT&T Center,"550,515","18,351",2020,SAS
24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,.240,.346,.561,.528,13.2,23.0,.183,.521,12.7,77.8,.217,FedEx Forum,"523,297","15,857",2020,MEM
27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,.533,11.2,22.4,.194,.530,11.2,75.3,.208,Moda Center,"628,303","19,634",2020,POR
25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,.256,.403,.568,.539,13.9,24.2,.186,.532,12.4,77.8,.212,Smoothie King Center,"528,172","16,505",2020,
27.0,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,.230,.395,.566,.534,13.0,21.9,.177,.543,13.6,78.4,.225,Golden 1 Center,"520,663","16,796",2020,SAC
24.4,22,43,26,39,-3.08,-0.93,-4.00,106.7,109.8,-3.1,99.7,.231,.396,.547,.515,13.7,22.8,.175,.546,16.3,75.6,.239,United Center,"639,352","18,804",2020,CHI
25.9,20,46,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,.261,.381,.561,.529,13.8,22.6,.194,.541,12.7,75.9,.186,Little Caesars Arena,"509,469","15,294",2020,DET
24.8,19,45,24,40,-4.30,0.28,-4.02,108.1,112.2,-4.1,103.4,.277,.433,.551,.514,13.0,22.1,.209,.541,13.2,77.2,.218,Target Center,"482,112","15,066",2020,MIN
25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,.270,.358,.562,.523,12.2,22.2,.213,.558,13.9,75.3,.231,Capital One Arena,"532,702","16,647",2020,WAS
24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,.263,.318,.531,.501,12.6,25.8,.182,.541,12.4,78.3,.224,Madison Square Garden (IV),"620,789","18,812",2020,NYK
24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,.252,.399,.539,.504,13.3,23.9,.188,.546,13.1,74.4,.159,Spectrum Center,"478,591","15,428",2020,
24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,.258,.398,.554,.515,13.8,21.6,.204,.543,12.7,74.9,.233,State Farm Arena,"545,453","16,043",2020,ATL
25.0,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,.227,.362,.553,.522,14.6,24.6,.172,.560,11.7,77.4,.164,Rocket Mortgage Fieldhouse,"643,008","17,861",2020,CLE
24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,.264,.355,.540,.497,13.2,21.5,.212,.553,13.7,76.4,.193,Chase Center,"614,176","18,064",2020,GSW
28.5,52.0,20.0,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,Vivint Smart Home Arena,"151,300","4,203",2021,UTA
28.8,47.0,25.0,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,"13,901",386,2021,LAC
26.6,51.0,21.0,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,Phoenix Suns Arena,"104,027","2,890",2021,PHX
28.1,46.0,26.0,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12.0,23.3,0.177,0.536,11.5,79.7,0.157,Fiserv Forum,"64,780","1,799",2021,MIL
27.1,49.0,23.0,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,Wells Fargo Center,"68,583","1,905",2021,PHI
26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,Ball Arena,"54,563","1,516",2021,DEN
28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,"30,491",847,2021,BKN
28.2,42.0,30.0,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,STAPLES Center,"23,313",648,2021,LAL
26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,"94,849","2,635",2021,DAL
25.6,41.0,31.0,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,Madison Square Garden (IV),"42,131","1,170",2021,NYK
25.4,41.0,31.0,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,"59,288","1,647",2021,ATL
27.4,42.0,30.0,40,32,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23.0,0.195,0.546,11.2,77.5,0.203,Moda Center,"5,817",162,2021,POR
25.1,36.0,36.0,39,33,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,"30,067",835,2021,BOS
26.7,39.0,33.0,38,34,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,"33,457",929,2021,GSW
24.2,38.0,34.0,38,34,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,FedEx Forum,"61,449","1,707",2021,MEM
27.4,40.0,32.0,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,,,2021,MIA
26.5,34.0,38.0,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,,,2021,IND
24.8,31.0,41.0,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80.0,0.186,Smoothie King Center,"93,120","2,587",2021,
26.6,27.0,45.0,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,Amalie Arena,"26,024",723,2021,TOR
25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,"13,655",379,2021,CHI
26.2,33.0,39.0,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,AT&T Center,"61,053","1,696",2021,SAS
26.6,34.0,38.0,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,Capital One Arena,"19,198",533,2021,WAS
24.6,33.0,39.0,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,"68,255","1,896",2021,
25.6,31.0,41.0,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,Golden 1 Center,,,2021,SAC
24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,"14,250",396,2021,DET
23.2,23.0,49.0,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,Target Center,"15,774",438,2021,MIN
26.5,17.0,55.0,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center,"117,009","3,250",2021,HOU
24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,"91,476","2,541",2021,CLE
25.6,21.0,51.0,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,Amway Center,"126,463","3,513",2021,ORL
22.8,22.0,50.0,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,Chesapeake Energy Arena,,,2021,OKC
26.1,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,+7.5,96.6,.239,.425,.578,.542,12.4,24.0,.195,.502,12.5,77.3,.183,TD Garden,"785,396","19,156",2022,BOS
27.5,64,18,59,23,7.50,-0.56,6.94,114.8,107.3,+7.5,99.8,.221,.354,.581,.549,11.6,22.3,.176,.510,13.0,77.1,.195,Phoenix Suns Arena,"663,171","16,175",2022,PHX
29.3,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,+6.2,97.1,.271,.468,.589,.555,12.7,25.4,.208,.521,10.9,78.3,.164,Vivint Smart Home Arena,"750,546","18,306",2022,UTA
24.0,56,26,55,27,5.68,-0.32,5.37,114.6,109.0,+5.6,100.3,.245,.346,.553,.522,11.2,30.0,.180,.523,13.3,77.8,.195,FedEx Forum,"646,785","15,775",2022,MEM
27.6,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,+5.6,98.4,.235,.456,.582,.552,13.5,22.8,.181,.509,13.0,78.7,.201,Chase Center,"740,624","18,064",2022,GSW
28.2,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,+4.6,95.9,.252,.422,.584,.547,13.4,23.5,.204,.524,13.8,78.0,.209,FTX Arena,"804,761","19,628",2022,MIA
26.7,52,30,50,32,3.30,-0.18,3.12,112.8,109.4,+3.4,95.4,.249,.439,.572,.538,11.7,21.3,.192,.521,12.2,78.0,.185,American Airlines Center,"808,037","19,708",2022,DAL
28.5,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,+3.3,99.9,.257,.430,.580,.546,11.9,23.0,.199,.536,11.6,78.6,.165,Fiserv Forum,"715,581","17,453",2022,MIL
26.8,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,+2.7,96.2,.282,.376,.578,.534,11.6,20.1,.232,.524,12.1,76.8,.192,Wells Fargo Center,"846,867","20,655",2022,PHI
24.2,46,36,48,34,2.63,-0.10,2.53,114.3,111.7,+2.6,100.9,.254,.454,.573,.539,12.4,24.4,.198,.535,14.2,74.9,.227,Target Center,"657,148","16,028",2022,MIN
27.7,48,34,47,35,2.30,-0.15,2.16,114.5,112.1,+2.4,97.8,.244,.416,.590,.556,13.2,21.9,.194,.537,11.7,78.3,.188,Ball Arena,"695,262","16,958",2022,DEN
24.8,48,34,47,35,2.29,0.08,2.38,112.9,110.5,+2.4,96.0,.234,.375,.543,.510,11.0,28.4,.177,.535,14.4,75.6,.199,Scotiabank Arena,"547,343","13,350",2022,TOR
24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,+2.2,96.1,.261,.387,.571,.538,13.2,24.0,.198,.520,12.3,76.5,.172,Rocket Mortgage Fieldhouse,"758,228","18,493",2022,CLE
26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,+1.6,97.7,.253,.390,.581,.543,10.8,23.0,.205,.543,11.5,76.9,.177,State Farm Arena,"672,742","16,408",2022,ATL
29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,+0.8,99.0,.246,.359,.576,.540,12.5,23.9,.198,.521,11.7,75.1,.201,Barclays Center,"711,539","17,355",2022,BKN
25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,+0.4,100.0,.234,.418,.572,.544,11.6,23.3,.173,.544,13.1,74.8,.187,Spectrum Center,"700,755","17,092",2022,
24.5,34,48,41,41,0.12,-0.10,0.02,112.4,112.3,+0.1,100.0,.220,.345,.556,.527,11.1,23.7,.166,.532,12.1,75.1,.176,AT&T Center,"615,588","15,014",2022,SAS
27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,.224,.391,.564,.531,12.5,20.6,.178,.514,12.0,74.4,.167,Crypto.com Arena,"694,005","16,927",2022,LAC
26.0,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,.280,.428,.550,.513,12.0,25.1,.208,.521,11.7,78.8,.198,Madison Square Garden (IV),"763,484","18,622",2022,NYK
26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,.248,.332,.579,.541,11.8,20.4,.201,.541,11.9,78.3,.199,United Center,"856,148","20,882",2022,CHI
25.6,36,46,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,.264,.365,.557,.517,12.5,26.9,.208,.547,13.0,78.2,.196,Smoothie King Center,"635,941","15,511",2022,
30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,.259,.388,.567,.537,12.8,21.1,.190,.540,12.2,75.8,.192,Crypto.com Arena,"764,631","18,650",2022,LAL
25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,.252,.356,.568,.532,12.1,20.9,.197,.529,10.7,76.9,.202,Capital One Arena,"637,215","15,542",2022,WAS
26.0,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,.239,.395,.564,.531,12.7,25.5,.184,.552,11.9,76.2,.204,Gainbridge Fieldhouse,"588,743","14,360",2022,IND
25.8,30,52,28,54,-5.46,0.20,-5.26,109.9,115.3,-5.4,99.8,.264,.377,.561,.525,12.5,21.3,.203,.551,11.9,76.0,.176,Golden 1 Center,"577,583","14,087",2022,SAC
23.6,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,.249,.391,.533,.494,12.6,23.4,.194,.541,13.1,75.6,.226,Little Caesars Arena,"663,556","16,184",2022,DET
23.3,22,60,21,61,-8.00,0.33,-7.67,104.5,112.5,-8.0,99.2,.223,.417,.538,.503,13.0,19.8,.175,.532,11.7,77.2,.196,Amway Center,"622,881","15,192",2022,ORL
22.4,24,58,21,61,-8.10,0.20,-7.90,104.6,112.8,-8.2,98.6,.223,.419,.530,.497,12.5,21.8,.169,.533,11.8,76.1,.169,Paycom Center,"595,112","14,515",2022,OKC
24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,.284,.448,.565,.534,14.5,21.7,.202,.554,12.3,74.4,.206,Toyota Center,"638,977","15,585",2022,HOU
25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,.248,.422,.550,.515,13.0,22.9,.188,.559,12.7,76.9,.222,Moda Center,"705,608","17,210",2022,POR
27.4,57,25,57,25,6.52,-0.15,6.38,118.0,111.5,+6.5,98.5,.243,.480,.600,.566,12.0,22.1,.197,.528,11.3,78.5,.180,TD Garden,"785,396","19,156",2023,BOS
25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,+5.5,95.7,.264,.371,.590,.556,12.3,23.6,.206,.535,14.4,76.3,.210,Rocket Mortgage Fieldhouse,"777,280","18,958",2023,CLE
28.2,54,28,52,30,4.32,0.06,4.37,117.7,113.3,+4.4,96.9,.300,.389,.608,.563,12.6,21.6,.250,.541,13.0,77.2,.217,Wells Fargo Center,"839,261","20,470",2023,PHI
24.4,51,31,51,31,3.94,-0.34,3.60,115.1,111.2,+3.9,101.1,.259,.372,.570,.540,11.7,26.5,.190,.526,13.1,75.9,.206,FedEx Forum,"707,836","17,264",2023,MEM
29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,+3.5,100.5,.248,.446,.583,.555,12.7,25.0,.184,.520,10.4,77.8,.175,Fiserv Forum,"718,786","17,531",2023,MIL
26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,+3.4,98.1,.259,.361,.601,.573,13.1,24.8,.194,.543,12.2,76.4,.201,Ball Arena,"788,635","19,235",2023,DEN
24.5,47,35,48,34,2.93,0.06,2.99,117.8,114.8,+3.0,97.1,.285,.400,.577,.541,11.4,28.3,.217,.536,11.4,77.1,.210,Madison Square Garden (IV),"795,110","19,393",2023,NYK
25.4,48,34,47,35,2.65,-0.35,2.30,119.4,116.8,+2.6,100.3,.284,.423,.608,.572,12.0,22.7,.225,.563,12.6,77.2,.203,Golden 1 Center,"715,491","17,451",2023,SAC
28.1,45,37,46,36,2.07,0.01,2.08,115.1,113.0,+2.1,98.2,.241,.362,.570,.535,12.0,26.6,.191,.532,12.9,76.0,.234,Footprint Center,"699,911","17,071",2023,PHX
25.9,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,+1.9,99.1,.279,.344,.582,.543,12.9,24.7,.221,.543,13.4,77.4,.212,Smoothie King Center,"687,691","16,773",2023,
27.3,44,38,45,37,1.80,-0.15,1.66,116.1,114.4,+1.7,101.6,.224,.479,.600,.571,14.1,24.4,.178,.540,12.3,76.0,.214,Chase Center,"740,624","18,064",2023,GSW
25.8,41,41,45,37,1.48,0.12,1.59,115.5,114.0,+1.5,97.1,.257,.351,.555,.517,10.3,27.8,.201,.565,15.3,76.7,.223,Scotiabank Arena,"811,261","19,787",2023,TOR
27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,+1.3,98.5,.251,.333,.587,.550,12.2,20.1,.203,.544,13.5,77.8,.197,United Center,"841,632","20,528",2023,CHI
22.8,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,+1.0,101.1,.256,.369,.570,.531,11.2,24.7,.207,.547,14.4,72.9,.222,Paycom Center,"636,903","15,534",2023,OKC
28.0,45,37,43,39,0.85,0.18,1.03,115.0,114.1,+0.9,98.3,.260,.397,.598,.562,12.7,19.6,.208,.530,12.2,73.7,.212,Barclays Center,"724,439","17,669",2023,BKN
27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,+0.6,101.3,.299,.351,.582,.542,12.3,22.8,.232,.535,10.9,76.3,.171,Crypto.com Arena,"763,168","18,614",2023,LAL
29.7,44,38,42,40,0.50,-0.19,0.31,115.0,114.5,+0.5,98.0,.278,.387,.588,.551,12.8,22.9,.217,.543,11.7,76.6,.195,Crypto.com Arena,"720,543","17,574",2023,LAC
24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,+0.3,100.7,.244,.331,.579,.541,11.2,25.1,.200,.552,12.4,75.8,.206,State Farm Arena,"719,787","17,556",2023,ATL
27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,+0.1,96.6,.298,.487,.599,.565,11.4,18.0,.225,.549,11.9,75.5,.226,American Airlines Center,"827,282","20,178",2023,DAL
25.8,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,.271,.381,.592,.560,13.6,21.5,.205,.540,13.3,74.3,.225,Target Center,"687,510","16,769",2023,MIN
27.7,44,38,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,.270,.408,.574,.530,12.4,22.8,.224,.561,14.5,77.7,.198,Kaseya Center,"807,190","19,688",2023,MIA
26.5,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,.265,.421,.584,.547,13.3,26.8,.209,.541,10.9,75.2,.205,Vivint Arena,"728,240","17,762",2023,UTA
26.2,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,.258,.365,.585,.550,12.7,22.6,.202,.540,11.0,76.1,.194,Capital One Arena,"710,481","17,329",2023,WAS
23.1,34,48,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,.290,.361,.573,.532,13.4,23.8,.227,.550,13.1,77.7,.211,Amway Center,"728,405","17,766",2023,ORL
24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,.265,.413,.581,.545,13.0,23.4,.209,.554,13.0,72.2,.229,Gainbridge Fieldhouse,"641,562","15,648",2023,IND
25.1,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,.289,.413,.589,.549,13.1,22.4,.230,.563,12.1,74.9,.217,Moda Center,"767,374","18,716",2023,POR
25.3,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,.261,.360,.550,.516,12.3,23.8,.195,.544,12.5,75.5,.211,Spectrum Center,"702,052","17,123",2023,
22.1,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,.285,.359,.554,.516,14.0,30.2,.215,.564,11.8,75.8,.218,Toyota Center,"668,865","16,314",2023,HOU
24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,.295,.372,.561,.520,13.3,24.9,.227,.557,11.9,74.0,.231,Little Caesars Arena,"759,715","18,596",2023,DET
23.9,22,60,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,.229,.348,.554,.525,13.0,25.6,.170,.576,12.0,74.9,.201,AT&T Center,"694,434","15,508",2023,SAS
