,shooting_rank,shooting_team,shooting_games,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_,shooting_dunks_fga_pct,shooting_dunks_made,shooting_,shooting_layups_fga_pct,shooting_layups_made,shooting_,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_,shooting_heaves_attempted,shooting_heaves_made
118,19,New Orleans Pelicans,82,19780,.448,12.5,,.723,.304,.144,.101,.174,.277,,.482,.597,.380,.385,.419,.360,,.510,.808,,.059,369,,.255,948,,.229,.332,,12,1
119,20,New York Knicks,82,19805,.439,13.0,,.744,.245,.154,.143,.201,.256,,.471,.585,.425,.407,.412,.346,,.477,.869,,.031,200,,.217,798,,.231,.405,,13,0
120,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
121,21,Oklahoma City Thunder*,82,19830,.476,11.9,,.725,.330,.126,.122,.146,.275,,.524,.626,.438,.478,.410,.349,,.508,.758,,.070,447,,.262,1010,,.291,.357,,6,0
122,22,Orlando Magic,82,19905,.455,12.5,,.745,.296,.150,.093,.206,.255,,.492,.609,.422,.409,.409,.350,,.528,.873,,.045,284,,.253,1009,,.241,.370,,21,0
123,23,Philadelphia 76ers,82,19805,.431,12.4,,.673,.311,.166,.096,.099,.327,,.476,.628,.341,.361,.338,.339,,.501,.861,,.061,377,,.253,983,,.234,.366,,14,1
124,24,Phoenix Suns,82,19705,.435,12.6,,.698,.300,.151,.092,.155,.302,,.472,.614,.349,.396,.362,.348,,.470,.831,,.056,351,,.250,948,,.226,.368,,12,0
125,25,Portland Trail Blazers*,82,19805,.450,13.3,,.668,.282,.137,.092,.157,.332,,.490,.607,.361,.436,.423,.370,,.469,.771,,.052,328,,.232,872,,.238,.388,,11,0
126,26,Sacramento Kings,82,19805,.464,11.6,,.740,.297,.223,.066,.155,.260,,.500,.650,.404,.411,.389,.359,,.550,.856,,.059,374,,.276,1158,,.230,.418,,15,0
127,27,San Antonio Spurs*,82,19705,.484,12.2,,.777,.264,.175,.137,.201,.223,,.515,.667,.452,.440,.421,.375,,.549,.905,,.033,206,,.237,1018,,.283,.373,,11,0
128,28,Toronto Raptors*,82,19780,.451,12.3,,.713,.277,.187,.111,.139,.287,,.483,.624,.409,.394,.374,.370,,.400,.869,,.043,265,,.246,906,,.290,.413,,9,1
129,29,Utah Jazz,82,19955,.449,12.3,,.703,.282,.177,.119,.126,.297,,.488,.633,.394,.401,.378,.355,,.435,.821,,.060,363,,.225,825,,.314,.389,,22,0
130,30,Washington Wizards,82,19755,.460,12.9,,.718,.291,.129,.111,.188,.282,,.501,.638,.410,.415,.400,.358,,.548,.872,,.039,254,,.255,1067,,.246,.382,,14,1
131,,League Average,82,19826,.452,12.5,,.715,.293,.158,.103,.162,.285,,.491,.624,.396,.405,.398,.354,,.510,.836,,.048,304,,.251,982,,.248,.377,,14.7,0.5
132,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
133,1,Atlanta Hawks*,82,19880,.451,13.0,,.691,.331,.117,.092,.151,.309,,.501,.616,.349,.394,.429,.341,,.542,.879,,.054,341,,.287,1093,,.234,.388,,12,0
134,2,Boston Celtics*,82,19755,.454,14.2,,.607,.296,.129,.071,.111,.393,,.515,.632,.395,.417,.405,.359,,.570,.836,,.033,211,,.271,1106,,.220,.410,,20,0
135,3,Brooklyn Nets,82,19755,.444,13.2,,.629,.309,.173,.077,.070,.371,,.506,.613,.418,.391,.374,.338,,.454,.851,,.035,225,,.300,1173,,.215,.375,,21,0
136,4,Chicago Bulls*,82,19780,.444,12.8,,.744,.280,.167,.117,.179,.256,,.479,.600,.449,.393,.377,.340,,.513,.875,,.038,248,,.255,1005,,.288,.415,,9,0
137,5,Charlotte Hornets,82,19830,.442,13.9,,.665,.282,.133,.099,.152,.335,,.488,.610,.400,.419,.380,.351,,.545,.795,,.034,218,,.253,1006,,.133,.377,,15,1
138,6,Cleveland Cavaliers*,82,19880,.470,14.4,,.601,.284,.110,.092,.115,.399,,.528,.666,.362,.427,.425,.384,,.441,.829,,.059,381,,.231,944,,.293,.412,,7,0
139,7,Dallas Mavericks,82,19780,.440,15.4,,.634,.201,.127,.116,.189,.366,,.489,.637,.444,.441,.391,.355,,.474,.813,,.040,237,,.167,650,,.196,.371,,17,0
140,8,Denver Nuggets,82,19755,.469,12.8,,.671,.330,.156,.078,.108,.329,,.519,.626,.441,.386,.397,.368,,.526,.870,,.053,347,,.283,1156,,.192,.387,,19,0
141,9,Detroit Pistons,82,19805,.449,13.1,,.737,.250,.189,.141,.157,.263,,.492,.646,.384,.445,.416,.330,,.455,.845,,.043,283,,.212,905,,.203,.384,,30,1
142,10,Golden State Warriors*,82,19780,.495,14.1,,.641,.303,.102,.107,.129,.359,,.557,.690,.408,.430,.469,.383,,.656,.832,,.075,500,,.235,1019,,.208,.409,,30,1
143,11,Houston Rockets*,82,19780,.462,14.4,,.538,.321,.125,.041,.051,.462,,.552,.667,.391,.375,.373,.357,,.546,.771,,.076,483,,.269,1146,,.202,.391,,14,0
144,12,Indiana Pacers*,82,19855,.465,13.5,,.728,.241,.186,.107,.194,.272,,.498,.625,.464,.417,.418,.376,,.498,.838,,.035,223,,.234,938,,.258,.403,,18,0
145,13,Los Angeles Clippers*,82,19755,.475,14.3,,.671,.275,.118,.081,.196,.329,,.525,.661,.419,.423,.439,.375,,.494,.786,,.067,414,,.223,879,,.198,.423,,17,2
146,14,Los Angeles Lakers,82,19705,.450,12.6,,.705,.299,.187,.103,.118,.295,,.493,.633,.397,.379,.390,.346,,.462,.771,,.056,358,,.250,1006,,.217,.368,,16,1
147,15,Memphis Grizzlies*,82,19905,.435,13.5,,.684,.288,.158,.092,.144,.316,,.473,.580,.416,.385,.380,.354,,.504,.811,,.033,203,,.267,979,,.192,.409,,31,0
148,16,Miami Heat,82,19780,.455,13.0,,.686,.290,.169,.094,.131,.314,,.496,.630,.412,.387,.389,.365,,.427,.890,,.054,350,,.238,927,,.301,.400,,14,0
149,17,Milwaukee Bucks*,82,19780,.474,11.9,,.710,.351,.174,.077,.108,.290,,.516,.644,.402,.377,.387,.370,,.534,.928,,.073,448,,.282,1073,,.276,.388,,12,0
150,18,Minnesota Timberwolves,82,19805,.467,12.4,,.751,.304,.164,.097,.186,.249,,.507,.645,.437,.392,.402,.349,,.535,.884,,.059,382,,.250,991,,.268,.393,,11,0
151,19,New Orleans Pelicans,82,19905,.450,13.4,,.692,.279,.170,.094,.149,.308,,.495,.627,.417,.427,.380,.350,,.503,.833,,.048,313,,.243,988,,.219,.373,,11,0
152,20,New York Knicks,82,19855,.447,13.2,,.721,.291,.126,.132,.172,.279,,.485,.591,.381,.440,.419,.348,,.469,.845,,.040,267,,.256,992,,.229,.425,,23,0
153,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
154,21,Oklahoma City Thunder*,82,19805,.452,12.1,,.705,.346,.146,.104,.109,.295,,.504,.614,.418,.391,.379,.327,,.466,.773,,.063,401,,.285,1129,,.252,.345,,19,2
155,22,Orlando Magic,82,19805,.440,13.5,,.700,.266,.168,.109,.157,.300,,.488,.616,.427,.413,.390,.328,,.495,.874,,.042,272,,.231,917,,.182,.297,,25,0
156,23,Philadelphia 76ers,82,19830,.442,13.2,,.651,.309,.149,.092,.100,.349,,.496,.638,.376,.384,.344,.340,,.541,.875,,.047,301,,.269,1087,,.154,.406,,8,0
157,24,Phoenix Suns,82,19830,.450,12.5,,.745,.306,.154,.120,.165,.255,,.491,.629,.412,.402,.373,.332,,.421,.789,,.057,358,,.258,1066,,.269,.329,,20,0
158,25,Portland Trail Blazers*,82,19930,.459,13.4,,.678,.299,.141,.091,.148,.322,,.499,.596,.418,.441,.417,.375,,.444,.789,,.048,306,,.247,935,,.199,.375,,18,0
159,26,Sacramento Kings,82,19880,.461,13.1,,.709,.258,.195,.100,.155,.291,,.496,.642,.421,.412,.402,.376,,.506,.875,,.051,309,,.251,973,,.237,.416,,18,0
160,27,San Antonio Spurs*,82,19805,.469,13.5,,.719,.255,.159,.116,.191,.281,,.500,.644,.429,.391,.431,.391,,.525,.874,,.047,292,,.215,864,,.268,.433,,12,0
161,28,Toronto Raptors*,82,19780,.464,13.2,,.711,.254,.185,.120,.153,.289,,.505,.631,.450,.449,.407,.363,,.372,.817,,.040,256,,.235,919,,.273,.381,,12,1
162,29,Utah Jazz*,82,19755,.466,13.1,,.673,.297,.152,.105,.118,.327,,.511,.651,.413,.427,.363,.372,,.454,.799,,.069,416,,.233,870,,.280,.385,,14,1
163,30,Washington Wizards*,82,19855,.475,13.1,,.716,.300,.137,.108,.169,.284,,.515,.629,.429,.426,.442,.372,,.496,.858,,.047,302,,.260,1079,,.254,.351,,10,0
164,,League Average,82,19815,.457,13.3,,.684,.290,.152,.099,.142,.316,,.503,.631,.414,.412,.402,.358,,.495,.835,,.051,322,,.250,994,,.228,.388,,16.8,0.3
165,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
166,1,Atlanta Hawks,82,19705,.446,13.6,,.637,.279,.131,.105,.122,.363,,.495,.635,.351,.399,.411,.360,,.520,.869,,.052,309,,.288,1064,,.243,.426,,22,0
167,2,Boston Celtics*,82,19805,.450,13.7,,.643,.259,.158,.106,.120,.357,,.491,.628,.364,.419,.426,.377,,.490,.813,,.047,274,,.261,935,,.213,.408,,18,0
168,3,Brooklyn Nets,82,19855,.441,13.7,,.589,.269,.175,.083,.062,.411,,.500,.643,.379,.400,.354,.356,,.507,.844,,.043,269,,.287,1098,,.201,.376,,13,1
169,4,Chicago Bulls,82,19855,.435,13.6,,.650,.254,.165,.095,.135,.350,,.478,.624,.390,.388,.377,.355,,.510,.848,,.039,261,,.250,942,,.184,.372,,15,0
170,5,Charlotte Hornets,82,19780,.450,13.2,,.686,.273,.160,.114,.138,.314,,.487,.642,.380,.408,.370,.369,,.484,.756,,.046,300,,.268,1030,,.154,.369,,21,0
171,6,Cleveland Cavaliers*,82,19730,.476,13.8,,.621,.297,.113,.092,.119,.379,,.540,.706,.368,.413,.387,.372,,.478,.819,,.051,319,,.269,1163,,.252,.417,,13,0
172,7,Dallas Mavericks,82,19805,.444,14.4,,.618,.241,.135,.105,.137,.382,,.496,.652,.400,.385,.405,.360,,.491,.824,,.048,295,,.222,850,,.169,.416,,20,0
173,8,Denver Nuggets,82,19880,.470,12.8,,.643,.275,.204,.090,.074,.357,,.525,.664,.424,.441,.391,.371,,.526,.848,,.055,356,,.302,1157,,.167,.417,,26,0
174,9,Detroit Pistons,82,19805,.450,13.1,,.667,.260,.185,.107,.116,.333,,.488,.657,.346,.433,.388,.373,,.465,.889,,.044,271,,.280,1047,,.227,.392,,19,1
175,10,Golden State Warriors*,82,19730,.503,14.0,,.661,.267,.111,.139,.144,.339,,.560,.708,.424,.485,.463,.391,,.643,.801,,.071,454,,.229,952,,.158,.405,,26,0
176,11,Houston Rockets*,82,19755,.460,15.0,,.498,.288,.104,.062,.044,.502,,.558,.669,.369,.454,.430,.362,,.470,.689,,.062,392,,.261,1004,,.228,.400,,17,1
177,12,Indiana Pacers*,82,19755,.472,13.0,,.716,.293,.136,.096,.191,.284,,.513,.638,.420,.449,.422,.369,,.465,.819,,.041,250,,.294,1168,,.220,.425,,21,0
178,13,Los Angeles Clippers,82,19705,.471,11.8,,.686,.347,.164,.083,.091,.314,,.525,.659,.378,.424,.378,.354,,.502,.726,,.082,512,,.301,1153,,.219,.338,,15,1
179,14,Los Angeles Lakers,82,19905,.461,12.4,,.671,.321,.168,.086,.096,.329,,.517,.670,.390,.354,.378,.345,,.492,.865,,.059,385,,.299,1253,,.159,.372,,17,0
180,15,Memphis Grizzlies,82,19705,.444,12.8,,.683,.312,.139,.100,.132,.317,,.486,.620,.352,.372,.398,.352,,.510,.815,,.049,296,,.304,1087,,.189,.350,,26,0
181,16,Miami Heat*,82,19930,.455,13.2,,.642,.280,.163,.095,.104,.358,,.508,.657,.416,.383,.366,.360,,.457,.908,,.053,336,,.268,1067,,.256,.388,,18,0
182,17,Milwaukee Bucks*,82,19830,.478,12.4,,.703,.310,.152,.114,.127,.297,,.531,.685,.373,.463,.406,.355,,.501,.883,,.068,419,,.279,1065,,.263,.405,,12,0
183,18,Minnesota Timberwolves*,82,19805,.476,12.3,,.739,.264,.196,.129,.150,.261,,.519,.690,.433,.432,.403,.357,,.487,.825,,.053,343,,.255,1029,,.226,.403,,12,0
184,19,New Orleans Pelicans*,82,19955,.483,12.5,,.681,.295,.179,.099,.109,.319,,.540,.667,.475,.441,.396,.362,,.549,.876,,.054,362,,.307,1294,,.233,.399,,14,0
185,20,New York Knicks,82,19830,.464,12.7,,.734,.278,.156,.140,.159,.266,,.504,.656,.398,.442,.399,.352,,.499,.869,,.040,259,,.276,1119,,.194,.406,,20,0
186,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
187,21,Oklahoma City Thunder*,82,19830,.453,13.2,,.655,.315,.096,.105,.138,.345,,.505,.639,.367,.404,.375,.354,,.426,.831,,.067,408,,.272,1082,,.239,.372,,21,0
188,22,Orlando Magic,82,19730,.452,13.3,,.658,.259,.180,.108,.112,.342,,.504,.688,.398,.347,.403,.351,,.515,.851,,.052,335,,.272,1088,,.178,.374,,8,0
189,23,Philadelphia 76ers*,82,19780,.472,13.3,,.656,.272,.168,.109,.107,.344,,.526,.702,.401,.383,.421,.369,,.556,.954,,.060,386,,.270,1105,,.151,.397,,20,0
190,24,Phoenix Suns,82,19705,.442,12.5,,.680,.313,.145,.115,.107,.320,,.492,.618,.387,.399,.369,.334,,.467,.823,,.063,387,,.293,1079,,.209,.366,,16,0
191,25,Portland Trail Blazers*,82,19755,.452,13.0,,.676,.283,.155,.111,.127,.324,,.493,.609,.383,.434,.418,.366,,.416,.721,,.039,246,,.266,998,,.175,.386,,4,0
192,26,Sacramento Kings,82,19755,.450,12.9,,.722,.242,.205,.115,.159,.278,,.479,.642,.395,.385,.407,.375,,.477,.817,,.045,290,,.248,907,,.200,.409,,25,0
193,27,San Antonio Spurs*,82,19730,.457,12.7,,.718,.261,.169,.143,.144,.282,,.499,.660,.406,.416,.400,.352,,.497,.897,,.031,192,,.263,1080,,.235,.400,,16,0
194,28,Toronto Raptors*,82,19830,.472,13.2,,.623,.291,.160,.098,.074,.377,,.541,.681,.414,.428,.419,.358,,.499,.816,,.050,338,,.272,1114,,.243,.396,,19,1
195,29,Utah Jazz*,82,19755,.462,13.2,,.643,.284,.151,.100,.108,.357,,.515,.674,.370,.398,.408,.366,,.500,.805,,.069,434,,.273,994,,.268,.418,,14,0
196,30,Washington Wizards*,82,19855,.467,13.4,,.690,.243,.159,.139,.149,.310,,.508,.673,.418,.436,.405,.375,,.548,.880,,.042,248,,.252,1008,,.192,.376,,17,0
197,,League Average,82,19795,.460,13.2,,.663,.281,.156,.106,.120,.337,,.510,.658,.394,.415,.400,.362,,.499,.830,,.053,331,,.273,1064,,.208,.394,,17.5,0.2
198,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
199,1,Atlanta Hawks,82,19855,.451,13.6,,.597,.332,.134,.083,.047,.403,,.518,.640,.356,.374,.374,.352,,.533,.824,,.081,528,,.306,1175,,.245,.393,,21,0
200,2,Boston Celtics*,82,19780,.465,14.5,,.619,.248,.147,.114,.109,.381,,.527,.677,.420,.448,.410,.365,,.527,.854,,.051,337,,.247,1028,,.196,.355,,7,0
201,3,Brooklyn Nets*,82,19980,.449,13.7,,.597,.299,.166,.084,.048,.403,,.513,.639,.373,.423,.366,.353,,.508,.774,,.051,326,,.309,1207,,.185,.377,,14,1
202,4,Chicago Bulls,82,19905,.453,12.4,,.705,.310,.191,.104,.101,.295,,.496,.627,.408,.392,.368,.351,,.465,.838,,.052,340,,.295,1112,,.218,.400,,14,0
203,5,Charlotte Hornets,82,19830,.448,13.9,,.622,.289,.165,.083,.084,.378,,.507,.625,.387,.440,.401,.351,,.494,.777,,.041,264,,.305,1181,,.194,.415,,37,2
204,6,Cleveland Cavaliers,82,19755,.444,13.4,,.668,.277,.171,.114,.105,.332,,.488,.619,.390,.411,.387,.355,,.435,.802,,.040,248,,.272,1042,,.207,.360,,11,0
205,7,Dallas Mavericks,82,19780,.447,14.5,,.578,.268,.157,.088,.065,.422,,.524,.677,.400,.397,.371,.340,,.506,.806,,.067,428,,.233,917,,.194,.383,,27,1
206,8,Denver Nuggets*,82,19730,.466,13.1,,.652,.277,.203,.101,.070,.348,,.527,.674,.407,.457,.394,.351,,.571,.883,,.053,348,,.270,1103,,.183,.406,,17,1
207,9,Detroit Pistons*,82,19855,.440,14.0,,.606,.263,.197,.074,.073,.394,,.500,.638,.396,.365,.419,.348,,.465,.831,,.044,277,,.304,1133,,.252,.380,,29,0
208,10,Golden State Warriors*,82,19805,.491,15.2,,.616,.250,.107,.121,.138,.384,,.557,.703,.433,.477,.458,.385,,.610,.803,,.074,504,,.216,916,,.195,.427,,19,2
209,11,Houston Rockets*,82,19830,.449,15.6,,.481,.261,.145,.050,.025,.519,,.551,.670,.400,.415,.452,.356,,.482,.626,,.060,392,,.255,969,,.242,.372,,8,1
210,12,Indiana Pacers*,82,19705,.475,12.9,,.708,.311,.158,.086,.152,.292,,.517,.651,.407,.416,.414,.374,,.557,.864,,.035,224,,.317,1304,,.229,.432,,10,1
211,13,Los Angeles Clippers*,82,19830,.471,12.4,,.705,.312,.182,.113,.098,.295,,.507,.638,.397,.426,.385,.388,,.497,.849,,.063,408,,.288,1081,,.210,.409,,15,0
212,14,Los Angeles Lakers,82,19780,.470,12.7,,.658,.345,.155,.078,.080,.342,,.541,.677,.387,.372,.419,.333,,.539,.793,,.084,572,,.307,1257,,.208,.348,,11,0
213,15,Memphis Grizzlies,82,19880,.450,13.3,,.658,.278,.184,.101,.095,.342,,.505,.643,.419,.390,.393,.342,,.562,.826,,.044,274,,.265,1019,,.232,.359,,15,0
214,16,Miami Heat,82,19730,.450,13.3,,.632,.291,.175,.102,.064,.368,,.509,.637,.427,.375,.364,.349,,.505,.880,,.066,437,,.270,1058,,.256,.375,,16,1
215,17,Milwaukee Bucks*,82,19780,.476,13.9,,.581,.340,.122,.066,.053,.419,,.565,.698,.346,.424,.389,.353,,.500,.825,,.073,488,,.307,1342,,.195,.386,,8,0
216,18,Minnesota Timberwolves,82,19830,.456,13.1,,.685,.288,.176,.099,.121,.315,,.504,.660,.391,.395,.388,.351,,.505,.862,,.046,319,,.286,1183,,.215,.387,,16,0
217,19,New Orleans Pelicans,82,19755,.473,12.4,,.676,.315,.199,.094,.068,.324,,.536,.674,.423,.447,.344,.344,,.542,.869,,.054,379,,.312,1371,,.206,.351,,12,0
218,20,New York Knicks,82,19780,.433,13.5,,.666,.311,.129,.103,.122,.334,,.479,.603,.345,.386,.385,.340,,.418,.826,,.052,315,,.288,1083,,.166,.342,,8,0
219,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
220,21,Oklahoma City Thunder*,82,19855,.454,12.9,,.653,.339,.132,.102,.080,.347,,.510,.637,.362,.372,.393,.348,,.451,.814,,.068,459,,.294,1206,,.256,.376,,21,2
221,22,Orlando Magic*,82,19780,.454,14.4,,.640,.246,.161,.104,.128,.360,,.509,.674,.422,.384,.401,.356,,.553,.832,,.053,353,,.239,954,,.191,.380,,23,0
222,23,Philadelphia 76ers*,82,19805,.471,13.5,,.658,.285,.166,.105,.101,.342,,.529,.696,.401,.401,.401,.359,,.546,.937,,.064,412,,.261,1089,,.178,.367,,12,0
223,24,Phoenix Suns,82,19880,.459,13.1,,.665,.301,.158,.114,.093,.335,,.525,.656,.407,.440,.400,.329,,.528,.808,,.068,434,,.267,1033,,.234,.339,,14,1
224,25,Portland Trail Blazers*,82,19855,.467,13.2,,.661,.329,.133,.090,.109,.339,,.523,.621,.404,.454,.428,.359,,.472,.749,,.060,383,,.273,1103,,.151,.366,,8,0
225,26,Sacramento Kings,82,19730,.464,13.1,,.679,.277,.199,.097,.104,.321,,.504,.674,.375,.404,.395,.378,,.507,.818,,.063,437,,.274,1125,,.200,.390,,17,0
226,27,San Antonio Spurs*,82,19805,.478,13.9,,.714,.214,.179,.156,.165,.286,,.513,.680,.457,.436,.431,.392,,.494,.865,,.029,186,,.230,995,,.196,.456,,16,0
227,28,Toronto Raptors*,82,19880,.474,13.8,,.621,.279,.169,.090,.083,.379,,.539,.659,.452,.431,.432,.366,,.499,.852,,.044,294,,.263,1101,,.276,.425,,15,0
228,29,Utah Jazz*,82,19755,.468,13.5,,.606,.315,.153,.073,.064,.394,,.541,.684,.369,.398,.412,.356,,.556,.848,,.091,573,,.288,1098,,.277,.374,,19,1
229,30,Washington Wizards,82,19930,.468,13.8,,.630,.306,.137,.086,.101,.370,,.543,.698,.403,.386,.393,.341,,.533,.868,,.067,454,,.282,1210,,.213,.360,,12,0
230,,League Average,82,19818,.461,13.5,,.641,.292,.162,.096,.092,.359,,.520,.658,.400,.413,.401,.355,,.513,.823,,.058,380,,.278,1113,,.214,.383,,15.7,0.5
231,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
232,1,Atlanta Hawks,67,16280,.449,14.1,,.602,.291,.155,.097,.059,.398,,.525,.658,.414,.394,.376,.333,,.525,.743,,.086,448,,.268,829,,.201,.342,,13,1
233,2,Boston Celtics*,72,17430,.461,13.9,,.614,.276,.173,.094,.071,.386,,.522,.662,.387,.437,.416,.364,,.491,.707,,.053,302,,.307,1039,,.181,.396,,22,0
234,3,Brooklyn Nets*,72,17480,.448,13.8,,.577,.315,.150,.070,.042,.423,,.524,.651,.358,.381,.413,.343,,.518,.789,,.068,383,,.318,1061,,.213,.369,,13,0
235,4,Chicago Bulls,65,15675,.447,13.3,,.604,.340,.152,.057,.055,.396,,.511,.627,.362,.375,.354,.348,,.487,.812,,.072,372,,.305,900,,.225,.383,,13,0
236,5,Charlotte Hornets,65,15750,.434,13.5,,.601,.303,.192,.062,.044,.399,,.489,.627,.357,.321,.352,.352,,.560,.803,,.061,307,,.299,828,,.201,.397,,14,0
237,6,Cleveland Cavaliers,65,15725,.458,13.2,,.638,.297,.183,.101,.057,.362,,.519,.640,.407,.443,.385,.351,,.472,.835,,.057,295,,.267,833,,.188,.396,,7,0
238,7,Dallas Mavericks*,75,18175,.461,15.2,,.543,.245,.162,.082,.053,.457,,.541,.696,.407,.413,.431,.367,,.483,.783,,.054,325,,.236,927,,.204,.408,,20,0
239,8,Denver Nuggets*,73,17745,.473,13.3,,.656,.278,.180,.105,.092,.344,,.533,.687,.402,.417,.456,.359,,.560,.853,,.056,326,,.270,1003,,.208,.401,,19,1
